experiment3, Bin+, Higgs, MultiTree, 2, 10, 32597609.428000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 32377933.591000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 32307761.221000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 51752717.167000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 49926766.267000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 49872630.684000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 23454409.208000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 22536881.348000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 22565772.557000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 22858236.015000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 22376343.557000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 22368833.164000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 23109367.750000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 22510856.050000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 22421329.587000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 26371364.582000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 23770267.759000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 23382488.653000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 19998624.865000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 17205061.524000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 17164981.790000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 19628241.251000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 17952763.328000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 18417573.838000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 22298366.406000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 20431684.310000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 20298868.341000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26597679.772000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26412758.467000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 26335823.446000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 41377683.413000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 41211794.088000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 41329312.079000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 67226730.432000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 66734875.276000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 66416746.359000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 4497937.657000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 3954710.869000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 0, 4054782.596000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 4702709.901000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 4678187.727000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 0, 4685399.978000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 3183914.797000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 2786403.675000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 0, 2778591.915000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2471842.976000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2483735.583000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 0, 2481206.656000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 2625099.833000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 2683596.736000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 0, 2585463.279000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 3201945.010000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 3129295.621000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 0, 3233055.995000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 3668195.369000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 3664462.061000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 0, 3659170.782000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 4912827.594000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 4966886.557000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 0, 4966440.958000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 6984660.633000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 6000422.941000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 0, 5841768.856000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 8145845.199000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 7791090.537000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 0, 7772609.132000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 4527224.373000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 3938671.578000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 5, 3921292.859000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3429121.291000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3131879.773000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 5, 3115532.644000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3096572.456000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3090037.457000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 5, 3078695.236000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3368464.904000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3248337.981000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 5, 3246991.354000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3242923.812000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3149184.509000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 5, 3072068.328000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 5, 3335972.532000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 5, 3307119.343000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 5, 3268566.659000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 5, 3654836.506000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 5, 3586890.831000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 5, 3569393.997000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 5, 4155465.562000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 5, 4133507.773000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 5, 4109382.897000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 5, 5563446.104000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 5, 5514403.416000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 5, 5512724.862000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 5, 8387795.525000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 5, 8352958.468000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 5, 8321796.324000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 10, 4066182.456000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 10, 4025972.607000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 10, 4021785.787000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 10, 3579179.195000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 10, 3454643.639000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 10, 3433204.278000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 10, 3491233.113000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 10, 3508814.562000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 10, 3342899.442000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 10, 3175397.336000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 10, 3097502.470000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 10, 3105362.103000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 10, 3260719.148000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 10, 3127811.172000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 10, 3102907.056000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 10, 3407679.286000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 10, 3375207.326000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 10, 3370100.285000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 10, 4716472.137000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 10, 4629565.018000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 10, 4620548.386000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 10, 6716798.765000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 10, 5277691.066000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 10, 5288762.952000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 10, 7866499.539000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 10, 7660051.568000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 10, 7633160.370000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 10, 11790869.219000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 10, 11736251.875000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 10, 11736237.076000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 15, 7133059.799000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 15, 7136824.896000, 1
experiment3, Bin+, MNIST, MultiTree, 512, 15, 7143263.115000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 15, 4027920.818000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 15, 3723717.655000, 1
experiment3, Bin+, MNIST, MultiTree, 256, 15, 3710647.344000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 15, 3910546.929000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 15, 3508268.409000, 1
experiment3, Bin+, MNIST, MultiTree, 128, 15, 3487607.249000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 15, 3512757.486000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 15, 3382214.588000, 1
experiment3, Bin+, MNIST, MultiTree, 64, 15, 3377225.418000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 15, 3660035.874000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 15, 3581621.877000, 1
experiment3, Bin+, MNIST, MultiTree, 32, 15, 3499700.255000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 15, 4811469.013000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 15, 4026123.837000, 1
experiment3, Bin+, MNIST, MultiTree, 16, 15, 3918913.258000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 15, 6885567.231000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 15, 6896538.504000, 1
experiment3, Bin+, MNIST, MultiTree, 8, 15, 6824611.371000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 15, 7885558.233000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 15, 6831801.994000, 1
experiment3, Bin+, MNIST, MultiTree, 4, 15, 6791484.200000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 15, 10232972.573000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 15, 9628486.851000, 1
experiment3, Bin+, MNIST, MultiTree, 2, 15, 9619477.324000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 15, 15233426.492000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 15, 15136559.893000, 1
experiment3, Bin+, MNIST, MultiTree, 1, 15, 15856278.658000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 0, 60853185.614000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 0, 57710843.458000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 0, 57699265.760000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 0, 61732385.694000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 0, 58876624.735000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 0, 58893411.233000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 0, 62237196.685000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 0, 59752700.828000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 0, 59769684.638000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 0, 64724975.903000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 0, 60227827.747000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 0, 60132606.254000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 0, 61888126.756000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 0, 56907367.708000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 0, 56915864.940000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 0, 60866831.690000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 0, 56713993.465000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 0, 56525609.182000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 0, 57505268.663000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 0, 54156600.533000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 0, 55700578.747000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 0, 62340505.047000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 0, 57304042.356000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 0, 57789480.327000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 0, 78295435.788000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 0, 75929970.618000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 0, 75162232.733000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 0, 103412663.698000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 0, 101302958.312000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 0, 101169484.774000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 5, 58314329.259000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 5, 55362150.980000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 5, 55358306.823000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 5, 57358869.123000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 5, 55764573.024000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 5, 55812492.836000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 5, 58046909.276000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 5, 56520771.294000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 5, 56588188.578000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 5, 59994086.511000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 5, 57164533.855000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 5, 57242602.408000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 5, 61470360.899000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 5, 56044168.203000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 5, 56336778.705000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 5, 55557788.897000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 5, 50751848.461000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 5, 50761272.458000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 5, 54655215.312000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 5, 48588615.889000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 5, 48570487.929000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 5, 54845363.355000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 5, 53137312.801000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 5, 53179112.960000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 5, 72185706.493000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 5, 70750884.617000, 1
experiment3, Bin+, Allstate, MultiTree, 2, 5, 70749433.320000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 5, 105646681.803000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 5, 104334990.116000, 1
experiment3, Bin+, Allstate, MultiTree, 1, 5, 104733852.123000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 10, 55589332.919000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 10, 55145443.791000, 1
experiment3, Bin+, Allstate, MultiTree, 512, 10, 55138641.208000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 10, 57570323.087000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 10, 55112876.957000, 1
experiment3, Bin+, Allstate, MultiTree, 256, 10, 55449738.561000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 10, 56703648.296000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 10, 55574286.059000, 1
experiment3, Bin+, Allstate, MultiTree, 128, 10, 55644206.430000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 10, 59465161.658000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 10, 56117809.111000, 1
experiment3, Bin+, Allstate, MultiTree, 64, 10, 56079995.901000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 10, 56474706.163000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 10, 54552555.632000, 1
experiment3, Bin+, Allstate, MultiTree, 32, 10, 54462480.214000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 10, 54405611.269000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 10, 51187672.679000, 1
experiment3, Bin+, Allstate, MultiTree, 16, 10, 50998216.521000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 10, 54511587.733000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 10, 51109799.007000, 1
experiment3, Bin+, Allstate, MultiTree, 8, 10, 51537575.601000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 10, 66743939.905000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 10, 61675209.165000, 1
experiment3, Bin+, Allstate, MultiTree, 4, 10, 60561497.371000, 1
