experiment3, Bin+, Higgs, MultiTree, 256, 10, 21611907.627000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 22084628.949000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21290866.233000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21269045.021000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 23333729.101000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21340931.327000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21282317.287000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 16672932.677000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 15642851.020000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 15609189.536000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 16846722.797000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 16393901.058000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 16332575.432000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 20254308.609000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 18999170.600000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 18987685.093000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 22849038.749000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 22636806.172000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 22714077.354000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 32356789.055000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 32159414.834000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 32115937.471000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 49731017.392000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 49382343.268000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 49305112.756000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 23230176.546000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 23236086.597000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 23248566.040000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 24170320.986000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 22792630.547000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 22806302.774000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 24210420.408000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 22784154.721000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 22419547.695000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 23223622.181000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 22512255.628000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 22494506.528000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 21772984.574000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 21709993.169000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 21710985.261000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 23991467.341000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 22444712.020000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 22605879.393000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 18876550.115000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 17260169.231000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 17208844.125000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 20228827.462000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 17922905.237000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 17904679.535000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 21589945.245000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 20548290.460000, 1
