experiment1, DF, MNIST, MultiTree, 32, 3567737.711000
experiment1, DF, MNIST, MultiTree, 32, 3557650.816000
experiment1, DF, MNIST, MultiTree, 32, 3538480.141000
experiment1, DF-, MNIST, MultiTree, 1, 10203496.977000
experiment1, DF-, MNIST, MultiTree, 1, 8530911.080000
experiment1, DF-, MNIST, MultiTree, 1, 8290630.645000
experiment1, DF-, MNIST, MultiTree, 2, 5897668.371000
experiment1, DF-, MNIST, MultiTree, 2, 5977011.323000
experiment1, DF-, MNIST, MultiTree, 2, 5813225.496000
experiment1, DF-, MNIST, MultiTree, 4, 4600545.814000
experiment1, DF-, MNIST, MultiTree, 4, 4540377.488000
experiment1, DF-, MNIST, MultiTree, 4, 4516046.001000
experiment1, DF-, MNIST, MultiTree, 8, 3824370.519000
experiment1, DF-, MNIST, MultiTree, 8, 3822141.968000
experiment1, DF-, MNIST, MultiTree, 8, 3895437.986000
experiment1, DF-, MNIST, MultiTree, 16, 3549062.718000
experiment1, DF-, MNIST, MultiTree, 16, 3738819.678000
experiment1, DF-, MNIST, MultiTree, 16, 3761285.305000
experiment1, DF-, MNIST, MultiTree, 32, 3408461.689000
experiment1, DF-, MNIST, MultiTree, 32, 3402015.026000
experiment1, DF-, MNIST, MultiTree, 32, 3343175.724000
experiment1, Stat, MNIST, MultiTree, 1, 8965786.739000
experiment1, Stat, MNIST, MultiTree, 1, 8633024.994000
experiment1, Stat, MNIST, MultiTree, 1, 8582484.251000
experiment1, Stat, MNIST, MultiTree, 2, 5855843.855000
experiment1, Stat, MNIST, MultiTree, 2, 5752244.634000
experiment1, Stat, MNIST, MultiTree, 2, 5907409.320000
experiment1, Stat, MNIST, MultiTree, 4, 4516420.670000
experiment1, Stat, MNIST, MultiTree, 4, 4504936.499000
experiment1, Stat, MNIST, MultiTree, 4, 4975322.797000
experiment1, Stat, MNIST, MultiTree, 8, 4012311.138000
experiment1, Stat, MNIST, MultiTree, 8, 3069463.589000
experiment1, Stat, MNIST, MultiTree, 8, 2527964.799000
experiment1, Stat, MNIST, MultiTree, 16, 3666700.434000
experiment1, Stat, MNIST, MultiTree, 16, 3519003.802000
experiment1, Stat, MNIST, MultiTree, 16, 2987587.919000
experiment1, Stat, MNIST, MultiTree, 32, 3169914.630000
experiment1, Stat, MNIST, MultiTree, 32, 3057089.536000
experiment1, Stat, MNIST, MultiTree, 32, 3012870.649000
experiment1, BF, Allstate, MultiTree, 1, 205713809.033000
experiment1, BF, Allstate, MultiTree, 1, 192936812.519000
experiment1, BF, Allstate, MultiTree, 1, 192889611.732000
experiment1, BF, Allstate, MultiTree, 2, 135036930.553000
experiment1, BF, Allstate, MultiTree, 2, 145971020.003000
experiment1, BF, Allstate, MultiTree, 2, 97142595.423000
experiment1, BF, Allstate, MultiTree, 4, 82081430.250000
experiment1, BF, Allstate, MultiTree, 4, 84654948.554000
experiment1, BF, Allstate, MultiTree, 4, 82609742.057000
experiment1, BF, Allstate, MultiTree, 8, 55722286.886000
experiment1, BF, Allstate, MultiTree, 8, 55189291.493000
experiment1, BF, Allstate, MultiTree, 8, 56025291.701000
experiment1, BF, Allstate, MultiTree, 16, 41799855.326000
experiment1, BF, Allstate, MultiTree, 16, 38962835.957000
experiment1, BF, Allstate, MultiTree, 16, 39315752.031000
experiment1, BF, Allstate, MultiTree, 32, 37198783.879000
experiment1, BF, Allstate, MultiTree, 32, 38456732.265000
experiment1, BF, Allstate, MultiTree, 32, 35914667.774000
experiment1, DF, Allstate, MultiTree, 1, 175873049.967000
