1 , 0 , 6 , 10798779.629000
1 , 1 , 6 , 15035281.837000
1 , 2 , 6 , 19354755.900000
1 , 3 , 6 , 11143735.331000
1 , 4 , 6 , 11687190.057000
1 , 5 , 6 , 18289084.519000
1 , 6 , 6 , 11910832.945000
8 , 0 , 6 , 11819659.114000
8 , 1 , 6 , 9366243.148000
8 , 2 , 6 , 10178521.280000
8 , 3 , 6 , 13395868.276000
8 , 4 , 6 , 9436708.302000
8 , 5 , 6 , 9450124.835000
8 , 6 , 6 , 21527635.324000
16 , 0 , 6 , 10425823.529000
16 , 1 , 6 , 11285038.420000
16 , 2 , 6 , 9253649.563000
16 , 3 , 6 , 10640119.313000
16 , 4 , 6 , 12599857.082000
16 , 5 , 6 , 9400738.234000
16 , 6 , 6 , 13422740.417000
32 , 0 , 6 , 15826872.458000
32 , 1 , 6 , 12652767.980000
32 , 2 , 6 , 9501985.135000
32 , 3 , 6 , 12954359.226000
32 , 4 , 6 , 9024156.936000
32 , 5 , 6 , 9226792.909000
32 , 6 , 6 , 15661269.976000
64 , 0 , 6 , 9262979.200000
64 , 1 , 6 , 12660452.853000
64 , 2 , 6 , 9163265.922000
64 , 3 , 6 , 9193002.662000
64 , 4 , 6 , 11693179.292000
64 , 5 , 6 , 9847817.257000
64 , 6 , 6 , 14886428.816000
128 , 0 , 6 , 10570807.371000
128 , 1 , 6 , 8643044.052000
128 , 2 , 6 , 9054732.383000
128 , 3 , 6 , 9113522.461000
128 , 4 , 6 , 9779629.164000
128 , 5 , 6 , 9661089.008000
128 , 6 , 6 , 10832383.244000
1 , 0 , 6 , 18058227.986000
1 , 1 , 6 , 10897161.661000
1 , 2 , 6 , 10992922.528000
1 , 3 , 6 , 11066337.986000
1 , 4 , 6 , 14052545.499000
1 , 5 , 6 , 11412590.388000
1 , 6 , 6 , 11636756.319000
8 , 0 , 6 , 9408054.239000
8 , 1 , 6 , 9362367.942000
8 , 2 , 6 , 9700076.263000
8 , 3 , 6 , 9450366.520000
8 , 4 , 6 , 9528769.244000
8 , 5 , 6 , 9696981.020000
8 , 6 , 6 , 12351164.858000
16 , 0 , 6 , 9253695.738000
16 , 1 , 6 , 9044636.900000
16 , 2 , 6 , 10136366.555000
16 , 3 , 6 , 10405282.700000
16 , 4 , 6 , 9157125.747000
16 , 5 , 6 , 9506267.219000
16 , 6 , 6 , 9922671.947000
32 , 0 , 6 , 12505075.014000
32 , 1 , 6 , 8837357.679000
32 , 2 , 6 , 13531330.932000
32 , 3 , 6 , 9291447.163000
32 , 4 , 6 , 9275540.924000
32 , 5 , 6 , 9014639.723000
32 , 6 , 6 , 9448374.185000
64 , 0 , 6 , 13188422.058000
