experiment3, Bin+, Higgs, MultiTree, 2048, 0, 25503406.256000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 0, 23316327.729000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 0, 24215430.143000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 23024430.737000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 23259410.814000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 22284487.546000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 28911436.057000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 24691731.549000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 23264374.875000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 26009229.762000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 23708102.193000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 23949615.773000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 25520191.162000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 25404400.155000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 25509047.170000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 25503864.185000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 24325276.898000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 23186758.482000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 23691193.091000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 23354899.464000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 24862572.855000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 21988284.561000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 22088948.325000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 21684600.415000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 23536947.434000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 25144199.807000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 26947646.519000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 27878570.477000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 25643444.917000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 25536018.324000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 33818590.393000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 35591992.132000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 33645666.929000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 51622759.915000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 47089020.343000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 43479686.647000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 23345388.371000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 23109359.489000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 22524830.855000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 26144137.209000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 23901296.230000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 23208558.289000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 22758667.246000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 22744864.650000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 23280242.758000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 25150036.571000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 23721430.348000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 23098359.504000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 24578792.666000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 23317481.974000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 24097713.927000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 26553771.872000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 24063069.720000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 23892052.123000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 18038270.713000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 17303462.009000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 17498664.189000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 18770002.723000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 19854578.629000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 22743683.631000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 20580085.198000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 19101893.837000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 22414475.337000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 24067828.798000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 22593407.424000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 22748581.817000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 29491380.545000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 28955930.832000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 29015965.434000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 41698659.725000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 41954930.733000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 41828752.640000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 22248840.472000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 22233618.710000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 22173796.799000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 22397249.035000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 21477569.887000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 21417881.742000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 21475454.599000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 21104965.488000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 21097988.204000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 21720685.166000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 21455130.758000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 21444425.506000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21530865.034000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21420163.840000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21377651.930000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 22808034.597000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21734953.857000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21685829.292000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 18478179.781000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 16096858.329000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 16094078.512000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 18280741.577000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 17141294.011000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 17147902.384000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 21022874.738000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 20041441.309000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 10, 20795987.735000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 27439365.867000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 26087363.203000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 10, 28691979.298000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 36517344.334000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 35027147.637000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 10, 35560520.883000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 69097064.508000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 75584471.680000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 10, 60516196.259000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 27858053.082000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 25725369.394000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 15, 25363471.913000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 26696881.116000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 25095791.804000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 15, 25204499.385000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 27323373.305000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 26008646.399000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 15, 25226895.588000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 30075357.838000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 26539659.667000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 15, 24565314.390000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 25775088.154000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 24532060.785000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 15, 25479991.477000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 25401130.959000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 25033253.860000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 15, 23933869.114000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 18889565.189000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 18315488.176000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 15, 18497886.144000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 19834621.455000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 20140680.175000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 15, 20061604.899000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 22406035.951000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 21068320.421000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 15, 20882419.170000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 30732671.018000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 28858649.203000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 15, 30024056.187000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 41032176.490000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 39648301.209000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 15, 39650805.137000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 67344928.129000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 65690120.535000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 15, 65571609.868000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 3814789.641000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 3792609.529000, 1
experiment3, Bin+, MNIST, MultiTree, 2048, 0, 3788082.967000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 4109117.362000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 3710732.993000, 1
experiment3, Bin+, MNIST, MultiTree, 1024, 0, 3913229.208000, 1
