experiment2, Bin+, Higgs, MultiTree, 256, 5, 9034170.330000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 8451966.685000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 8106764.628000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 9049811.012000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 8049373.708000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 8162825.972000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 7955393.861000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 5387125.221000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4764570.123000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4831060.424000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4832933.852000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4747896.208000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4706206.336000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4567993.527000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4572782.769000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4495046.621000, 8
experiment2, Bin+, Higgs, MultiTree, 256, 5, 4574640.260000, 8
experiment2, Bin+, Higgs, MultiTree, 128, 5, 21071323.399000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20522401.958000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20539831.495000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20426696.467000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20429452.728000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20448629.194000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20427420.592000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20423693.880000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20452641.354000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 20451422.340000, 1
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13370255.063000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13448663.975000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13421263.453000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13057633.671000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13000647.899000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 12836076.719000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13093609.552000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 12645370.624000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 13282022.017000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 12981962.827000, 2
experiment2, Bin+, Higgs, MultiTree, 128, 5, 9428342.472000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 9605838.534000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8989187.990000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8571946.854000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8540285.797000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8528179.997000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8360740.143000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8079480.209000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 8127779.527000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 7953409.170000, 4
experiment2, Bin+, Higgs, MultiTree, 128, 5, 6752765.533000, 8
experiment2, Bin+, Higgs, MultiTree, 128, 5, 6976995.118000, 8
experiment2, Bin+, Higgs, MultiTree, 128, 5, 6665512.391000, 8
experiment2, Bin+, Higgs, MultiTree, 128, 5, 6726710.930000, 8
experiment2, Bin+, Higgs, MultiTree, 128, 5, 6134401.864000, 8
